,userid,recipeid,comment,time
0,3,1,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.06.17
1,4,2,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.04.07
2,2,3,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.01.03
3,1,4,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.06.17
4,1,5,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2021.12.24
5,6,6,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.01.03
6,1,7,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
7,4,8,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2020.07.28
8,5,9,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2022.06.17
9,5,10,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2021.12.24
10,2,11,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.01.03
11,5,12,"I made it and shared it with my friends, it's worth making!",2019.03.19
12,5,13,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
13,6,14,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
14,6,15,"I made it and shared it with my friends, it's worth making!",2020.07.28
15,3,16,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2020.07.28
16,2,17,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.01.03
17,2,18,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.04.07
18,6,19,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
19,1,20,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
20,2,21,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.04.07
21,6,22,"I made it and shared it with my friends, it's worth making!",2022.06.17
22,1,23,"I made it and shared it with my friends, it's worth making!",2019.04.07
23,2,24,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.03.19
24,1,25,"I made it and shared it with my friends, it's worth making!",2022.06.17
25,1,26,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.01.03
26,1,27,"I made it and shared it with my friends, it's worth making!",2020.07.28
27,1,28,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.03.19
28,5,29,"I made it and shared it with my friends, it's worth making!",2020.07.28
29,5,30,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
30,1,31,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.04.07
31,1,32,"I made it and shared it with my friends, it's worth making!",2020.07.28
32,2,33,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2020.07.28
33,3,34,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.03.19
34,4,35,"I made it and shared it with my friends, it's worth making!",2019.03.19
35,4,36,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.06.17
36,2,37,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2022.06.17
37,5,38,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.01.03
38,6,39,"I made it and shared it with my friends, it's worth making!",2021.12.24
39,4,40,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.01.03
40,3,41,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
41,2,42,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.06.17
42,1,43,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.03.19
43,1,44,"I made it and shared it with my friends, it's worth making!",2022.06.17
44,2,45,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
45,3,46,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.06.17
46,3,47,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
47,6,48,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2020.07.28
48,2,49,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.03.19
49,4,50,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2020.07.28
50,1,51,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2021.12.24
51,4,52,"I made it and shared it with my friends, it's worth making!",2021.12.24
52,3,53,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2021.12.24
53,6,54,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.04.07
54,1,55,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.01.03
55,6,56,"I made it and shared it with my friends, it's worth making!",2020.07.28
56,3,57,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
57,2,58,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.01.03
58,3,59,"I made it and shared it with my friends, it's worth making!",2019.03.19
59,6,60,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.03.19
60,2,61,"I made it and shared it with my friends, it's worth making!",2022.01.03
61,4,62,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.03.19
62,3,63,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2021.12.24
63,2,64,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
64,1,65,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.03.19
65,1,66,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.03.19
66,1,67,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2020.07.28
67,6,68,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2021.12.24
68,3,69,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2020.07.28
69,4,70,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2021.12.24
70,2,71,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.04.07
71,6,72,"I made it and shared it with my friends, it's worth making!",2019.04.07
72,5,73,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.01.03
73,1,74,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.06.17
74,1,75,"I made it and shared it with my friends, it's worth making!",2019.04.07
75,5,76,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2021.12.24
76,4,77,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2021.12.24
77,5,78,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
78,5,79,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.04.07
79,6,80,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.06.17
80,6,81,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2021.12.24
81,6,82,"I made it and shared it with my friends, it's worth making!",2022.01.03
82,2,83,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.03.19
83,2,84,"I made it and shared it with my friends, it's worth making!",2019.04.07
84,1,85,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.03.19
85,1,86,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.06.17
86,5,87,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.03.19
87,5,88,"I made it and shared it with my friends, it's worth making!",2022.06.17
88,4,89,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
89,2,90,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.04.07
90,5,91,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.04.07
91,6,92,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.04.07
92,2,93,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2020.07.28
93,1,94,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2022.06.17
94,3,95,"I made it and shared it with my friends, it's worth making!",2019.03.19
95,4,96,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.01.03
96,3,97,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2020.07.28
97,2,98,"I made it and shared it with my friends, it's worth making!",2021.12.24
98,3,99,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2020.07.28
99,6,100,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2019.03.19
100,6,101,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.06.17
101,4,102,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
102,2,103,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
103,6,104,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.04.07
104,4,105,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2022.06.17
105,2,106,"I made it and shared it with my friends, it's worth making!",2019.03.19
106,3,107,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2021.12.24
107,6,108,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2021.12.24
108,6,109,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2019.04.07
109,6,110,"I made it and shared it with my friends, it's worth making!",2019.04.07
110,2,111,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.03.19
111,2,112,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
112,1,113,"I made it and shared it with my friends, it's worth making!",2019.03.19
113,4,114,"I made it and shared it with my friends, it's worth making!",2019.03.19
114,6,115,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
115,4,116,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.04.07
116,6,117,"I made it and shared it with my friends, it's worth making!",2019.04.07
117,5,118,"I made it and shared it with my friends, it's worth making!",2019.03.19
118,5,119,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.06.17
119,4,120,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2020.07.28
120,3,121,"I made it and shared it with my friends, it's worth making!",2020.07.28
121,5,122,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.01.03
122,2,123,"Looks good, even though I haven't learned to make it yet, I've got it in my collection!",2020.07.28
123,5,124,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2019.03.19
124,4,125,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.01.03
125,2,126,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2021.12.24
126,4,127,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2020.07.28
127,4,128,"I made it and shared it with my friends, it's worth making!",2019.03.19
128,2,129,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.03.19
129,3,130,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
130,6,131,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2020.07.28
131,6,132,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2022.01.03
132,1,133,"Wouldn't this ingredient be too much, I probably won't make it a second time.",2022.01.03
133,6,134,"I made it and shared it with my friends, it's worth making!",2020.07.28
134,5,135,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2022.06.17
135,5,136,"I personally feel that the taste is relatively general, but the production process is still very interesting.",2019.03.19
136,1,137,"Very good, I also have a similar approach, when I succeed I will share the post for everyone to see",2022.06.17
137,6,138,"Very disappointed, the result is not as good as expected, but still very grateful to the blogger for sharing.",2019.04.07
